Biome,Ecoregion,Variable,Mean,Standard deviation,mtry,RMSE,Rsquared,MAE,Irreplaceable/AGC/BGC,Biome code
Tropical & Subtropical Moist Broadleaf Forests,Central American Atlantic moist forests,Croplands,6.18182712,4.6875081,4,13.207547,0.2827646,5.451629,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Central American Atlantic moist forests,Navigable water,72.84124962,6.5685503,4,13.207547,0.2827646,5.451629,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Central American Atlantic moist forests,Pastures,71.77037883,10.4327203,4,13.207547,0.2827646,5.451629,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Central American Atlantic moist forests,Population density,100,0,4,13.207547,0.2827646,5.451629,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Central American Atlantic moist forests,Roads,64.88445505,3.1248866,4,13.207547,0.2827646,5.451629,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Central American Atlantic moist forests,y,88.9447119,6.6083457,4,13.207547,0.2827646,5.451629,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Central American montane forests,Navigable water,24.22618017,5.1879721,4,9.517684,0.3736713,6.657063,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Central American montane forests,Pastures,71.92819427,4.1777025,4,9.517684,0.3736713,6.657063,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Central American montane forests,Population density,58.53000306,9.6311346,4,9.517684,0.3736713,6.657063,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Central American montane forests,Roads,45.40555486,4.9892075,4,9.517684,0.3736713,6.657063,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Central American montane forests,y,100,0,4,9.517684,0.3736713,6.657063,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Central Congolian lowland forests,Croplands,0,0,2,33.347657,0.3907115,22.897726,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Central Congolian lowland forests,Navigable water,36.47917977,1.9647402,2,33.347657,0.3907115,22.897726,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Central Congolian lowland forests,Pastures,20.5075347,1.9749664,2,33.347657,0.3907115,22.897726,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Central Congolian lowland forests,Population density,100,0,2,33.347657,0.3907115,22.897726,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Central Congolian lowland forests,Roads,35.28044627,8.8636657,2,33.347657,0.3907115,22.897726,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Central Congolian lowland forests,y,82.95346685,2.7688894,2,33.347657,0.3907115,22.897726,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Central Range montane rain forests,Croplands,0,0,4,80.943205,0.634029,49.338033,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Central Range montane rain forests,Navigable water,14.11509656,5.4629714,4,80.943205,0.634029,49.338033,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Central Range montane rain forests,Pastures,35.02345259,8.3029922,4,80.943205,0.634029,49.338033,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Central Range montane rain forests,Population density,74.94610084,6.9980473,4,80.943205,0.634029,49.338033,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Central Range montane rain forests,Roads,27.55010913,6.3791048,4,80.943205,0.634029,49.338033,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Central Range montane rain forests,y,100,0,4,80.943205,0.634029,49.338033,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Chin Hills-Arakan Yoma montane forests,Croplands,0,0,2,18.572096,0.2994236,14.044542,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Chin Hills-Arakan Yoma montane forests,Navigable water,45.97322325,4.8770515,2,18.572096,0.2994236,14.044542,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Chin Hills-Arakan Yoma montane forests,Pastures,70.20653854,3.8185067,2,18.572096,0.2994236,14.044542,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Chin Hills-Arakan Yoma montane forests,Population density,59.1576591,3.8888803,2,18.572096,0.2994236,14.044542,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Chin Hills-Arakan Yoma montane forests,Roads,55.53506726,1.8022777,2,18.572096,0.2994236,14.044542,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Chin Hills-Arakan Yoma montane forests,y,100,0,2,18.572096,0.2994236,14.044542,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Chocó-Darién moist forests,Croplands,0.10775729,0.1180422,4,34.313458,0.4983349,21.20466,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Chocó-Darién moist forests,Navigable water,99.20747824,1.2277694,4,34.313458,0.4983349,21.20466,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Chocó-Darién moist forests,Pastures,62.6773309,3.3241242,4,34.313458,0.4983349,21.20466,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Chocó-Darién moist forests,Population density,73.7500822,1.5168526,4,34.313458,0.4983349,21.20466,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Chocó-Darién moist forests,Roads,39.64738226,2.0847812,4,34.313458,0.4983349,21.20466,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Chocó-Darién moist forests,y,92.33834911,5.9601114,4,34.313458,0.4983349,21.20466,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Cordillera La Costa montane forests,Croplands,0,0,4,13.430629,0.6185523,9.80625,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Cordillera La Costa montane forests,Navigable water,26.80549274,2.9849147,4,13.430629,0.6185523,9.80625,irrep,TropMoBF
